Territory,Restaurant ID,Order ID,Order Time,Order Status,Item Name,Customizations,Special Instructions,Item Price,Order Price,Currency
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,No Lettuce,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,No Lettuce,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,No Lettuce,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Soft Taco,No Lettuce,,1.63,19.53,USD
p,94ab8da7-c8c5-4f82-99a0-946581ed6230,7c846a9d-b232-4e05-b9c1-0a5c5394af19,2020-12-27 07:32:35 +0000 UTC,completed,Quesarito,Quesarito - Seasoned Beef,,3.5,19.53,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,bb224319-4b4b-4fa3-b7b4-5c8802ac5e28,2020-12-18 23:48:02 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, No Lettuce, No Tomatoes, Chopped Green Peppers, Jalapenos",,10.95,27.02,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,bb224319-4b4b-4fa3-b7b4-5c8802ac5e28,2020-12-18 23:48:02 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,27.02,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,1622abb3-19f1-429a-a5e7-e06f9b2bb390,2020-12-11 23:37:44 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,26.51,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,1622abb3-19f1-429a-a5e7-e06f9b2bb390,2020-12-11 23:37:44 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, No Lettuce, No Tomatoes, Chopped Green Peppers, Jalapenos",,10.95,26.51,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Creamy Ranch Sauce,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Creamy Ranch Sauce,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,20 Piece McNuggets,"Hot Mustard Dipping Sauce, Tangy Honey Mustard, Spicy Buffalo",,6.99,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Plain Sundae,,,2.49,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Ketchup Packet,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Ketchup Packet,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Ketchup Packet,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Ketchup Packet,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Ketchup Packet,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Tangy Honey Mustard,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Tangy BBQ Dipping Sauce,,,0,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Medium French Fries,"Large French Fries, Salt",,3.29,20.2,USD
p,49f41eda-a91c-41f9-a5f5-83ee911ca0af,f9069455-4495-4195-aff3-6e78df468eb5,2020-12-10 06:01:26 +0000 UTC,completed,Medium French Fries,"Large French Fries, Salt",,3.29,20.2,USD
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,65755f9a-85fd-4034-9d58-99833f3543a7,2020-12-04 23:51:35 +0000 UTC,completed,Spicy Szechuan,"Chicken, Steamed Rice","Extra spicy, no onions",8.99,43.79,USD
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,65755f9a-85fd-4034-9d58-99833f3543a7,2020-12-04 23:51:35 +0000 UTC,completed,Spicy Szechuan,"Beef, Steamed Rice",Extra spicy,8.99,43.79,USD
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,65755f9a-85fd-4034-9d58-99833f3543a7,2020-12-04 23:51:35 +0000 UTC,completed,Egg Drop Soup,Large,,2.49,43.79,USD
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,65755f9a-85fd-4034-9d58-99833f3543a7,2020-12-04 23:51:35 +0000 UTC,completed,Broccoli,"Beef, Steamed Rice",Extra spicy,8.99,43.79,USD
